operation,operand_1,operand_2
DIV,962,999
SUM,959,893
SUM,222,730
DIV,271,407
SUM,722,573
SUB,911,293
MUL,190,567
POW,622,460
SUM,927,499
SUB,767,294
MUL,842,859
DIV,683,711
SUM,525,939
DIV,995,109
POW,443,156
POW,573,270
POW,412,469
SUM,266,552
SUM,525,919
DIV,80,638
DIV,10,747
DIV,209,120
SUB,365,97
SUB,64,907
SUM,802,562
POW,510,334
MUL,540,12
SUB,313,888
DIV,899,790
SUB,652,801
MUL,838,1
POW,86,527
POW,999,556
DIV,580,917
MUL,599,941
DIV,469,632
POW,772,498
POW,991,874
POW,256,609
POW,436,573
POW,833,164
DIV,963,80
POW,105,355
POW,566,638
DIV,976,271
SUM,230,858
MUL,631,756
MUL,306,801
SUM,561,151
DIV,656,656
SUM,537,510
SUB,528,535
DIV,179,428
SUM,702,401
SUB,108,613
SUM,296,903
SUB,522,558
MUL,15,37
SUB,67,272
POW,207,390
POW,861,708
POW,455,262
POW,941,729
POW,175,103
MUL,116,382
SUM,69,373
POW,803,87
MUL,616,474
DIV,911,231
POW,929,897
MUL,264,757
SUB,944,740
SUB,242,433
SUM,146,132
DIV,543,121
SUM,941,787
SUB,801,390
DIV,615,704
POW,511,256
DIV,650,831
POW,606,56
POW,403,327
DIV,586,324
SUB,831,163
DIV,840,812
SUB,453,44
SUM,372,842
POW,60,933
DIV,852,77
DIV,358,822
MUL,722,185
SUM,392,455
SUM,669,277
SUM,204,145
SUM,635,619
DIV,869,607
SUB,267,885
SUB,290,798
POW,480,538
POW,585,835
POW,29,719
DIV,28,809
SUB,40,418
MUL,253,414
POW,634,812
SUM,50,701
SUB,59,687
SUB,383,222
POW,853,404
DIV,941,33
SUB,50,12
SUM,48,306
MUL,857,464
SUB,277,453
MUL,880,177
POW,206,393
MUL,191,432
POW,589,6
MUL,611,812
SUB,902,725
SUM,947,936
SUB,897,888
SUB,991,670
SUB,245,484
POW,800,24
SUM,273,243
SUM,1000,806
POW,160,185
SUB,153,332
POW,125,730
SUM,545,31
SUM,346,910
POW,105,953
MUL,50,566
MUL,114,975
SUB,9,183
POW,85,601
DIV,900,31
DIV,87,763
SUM,221,947
SUB,939,104
DIV,562,108
SUB,766,894
DIV,573,893
MUL,299,733
SUM,589,497
POW,367,862
SUB,374,329
POW,972,946
SUM,900,461
SUM,661,257
SUB,518,102
DIV,33,102
MUL,106,961
SUM,560,912
MUL,509,896
MUL,672,794
SUM,929,431
SUM,72,282
POW,429,692
DIV,986,291
MUL,783,337
POW,831,253
SUB,211,437
DIV,737,418
MUL,751,431
DIV,439,738
DIV,209,520
POW,693,143
SUM,94,398
POW,815,843
SUB,750,397
SUB,817,107
DIV,46,877
POW,893,45
DIV,336,522
SUM,500,644
MUL,140,717
MUL,393,757
SUM,15,757
POW,25,523
POW,370,953
POW,845,999
DIV,409,827
MUL,349,355
MUL,839,140
DIV,84,761
SUM,515,856
POW,231,917
MUL,439,282
DIV,40,394
MUL,248,467
SUB,477,829
SUM,282,645
SUM,45,722
POW,944,60
MUL,533,288
SUB,431,777
SUM,263,736
SUB,8,723
DIV,33,760
POW,938,342
DIV,209,702
POW,389,339
MUL,547,793
POW,576,873
SUB,753,675
MUL,209,317
POW,113,751
DIV,110,398
SUM,930,746
SUB,920,468
SUM,725,811
SUM,528,23
SUM,405,479
MUL,92,761
DIV,660,385
POW,991,529
DIV,93,368
MUL,861,31
DIV,307,130
DIV,450,341
SUM,983,978
MUL,264,840
POW,159,698
SUB,545,741
DIV,374,586
SUM,836,607
MUL,735,431
DIV,660,374
POW,364,215
POW,293,715
DIV,91,820
SUB,449,982
MUL,780,640
POW,786,278
SUB,909,719
MUL,400,231
DIV,873,336
SUB,591,938
MUL,925,640
SUM,345,611
MUL,907,158
POW,11,751
POW,155,805
DIV,872,314
SUM,415,326
SUM,752,903
MUL,952,413
SUM,500,692
SUM,792,19
MUL,307,308
DIV,355,100
DIV,567,903
MUL,284,874
DIV,327,226
POW,602,51
SUM,385,220
SUB,698,693
POW,871,224
POW,869,351
SUM,534,154
MUL,690,535
POW,202,710
SUB,671,670
DIV,344,265
SUB,675,740
DIV,17,19
DIV,789,986
SUB,890,5
SUM,503,829
SUB,249,567
SUB,543,994
SUM,926,52
SUM,942,822
DIV,360,847
SUB,439,916
SUM,782,608
MUL,523,438
MUL,421,374
POW,712,237
MUL,400,167
DIV,265,852
SUM,690,538
SUM,369,689
SUB,550,567
SUM,62,625
DIV,148,436
MUL,208,140
POW,726,121
MUL,455,905
MUL,493,315
MUL,600,80
SUB,431,182
SUB,325,207
MUL,936,804
POW,640,874
POW,109,554
SUB,454,807
SUM,662,871
DIV,766,347
DIV,230,868
POW,126,323
SUB,353,893
SUM,553,86
SUM,202,984
SUM,547,99
SUB,440,84
SUM,221,148
POW,233,334
DIV,290,439
SUM,258,529
SUB,874,104
SUM,555,119
SUB,572,204
SUB,600,630
POW,40,46
DIV,903,203
SUM,537,80
POW,160,589
POW,534,31
SUB,259,976
SUM,650,321
SUB,70,62
POW,558,533
SUB,853,660
SUB,916,803
MUL,186,300
MUL,23,376
SUM,776,291
DIV,228,214
SUB,502,148
DIV,655,383
SUM,415,148
SUB,967,13
MUL,9,260
SUM,868,848
DIV,720,875
SUB,788,729
POW,904,440
SUB,424,871
SUM,589,363
MUL,255,24
POW,802,451
DIV,298,140
POW,977,83
SUM,792,67
POW,836,776
POW,865,708
DIV,842,802
POW,695,335
POW,298,82
DIV,526,740
POW,469,340
MUL,584,588
SUB,137,175
SUB,486,689
MUL,48,843
DIV,578,132
SUB,628,353
DIV,243,886
SUB,867,956
SUM,71,389
POW,299,960
MUL,364,788
POW,415,941
SUM,342,128
POW,480,748
DIV,879,479
POW,991,163
MUL,194,646
POW,528,13
POW,121,621
DIV,345,558
POW,562,864
POW,797,317
DIV,18,268
SUB,514,655
SUM,91,717
POW,708,126
SUM,708,809
MUL,809,720
MUL,971,183
DIV,399,301
SUB,152,712
MUL,526,297
SUB,521,329
MUL,718,861
POW,726,236
SUM,615,329
MUL,27,280
SUB,886,865
SUB,482,689
SUM,987,623
POW,382,355
POW,367,717
POW,133,238
