operation,operand_1,operand_2,Resultado
DIV,962,999,0.9629629629629629
SUM,959,893,1852
SUM,222,730,952
DIV,271,407,0.6658476658476659
SUM,722,573,1295
SUB,911,293,618
MUL,190,567,107730
POW,622,460,Muy Largo
SUM,927,499,1426
SUB,767,294,473
MUL,842,859,723278
DIV,683,711,0.960618846694796
SUM,525,939,1464
DIV,995,109,9.128440366972477
POW,443,156,Muy Largo
POW,573,270,Muy Largo
POW,412,469,Muy Largo
SUM,266,552,818
SUM,525,919,1444
DIV,80,638,0.12539184952978055
DIV,10,747,0.013386880856760375
DIV,209,120,1.7416666666666667
SUB,365,97,268
SUB,64,907,-843
SUM,802,562,1364
POW,510,334,Muy Largo
MUL,540,12,6480
SUB,313,888,-575
DIV,899,790,1.1379746835443039
SUB,652,801,-149
MUL,838,1,838
POW,86,527,Muy Largo
POW,999,556,Muy Largo
DIV,580,917,0.6324972737186477
MUL,599,941,563659
DIV,469,632,0.7420886075949367
POW,772,498,Muy Largo
POW,991,874,Muy Largo
POW,256,609,Muy Largo
POW,436,573,Muy Largo
POW,833,164,Muy Largo
DIV,963,80,12.0375
POW,105,355,Muy Largo
POW,566,638,Muy Largo
DIV,976,271,3.6014760147601477
SUM,230,858,1088
MUL,631,756,477036
MUL,306,801,245106
SUM,561,151,712
DIV,656,656,1.0
SUM,537,510,1047
SUB,528,535,-7
DIV,179,428,0.4182242990654206
SUM,702,401,1103
SUB,108,613,-505
SUM,296,903,1199
SUB,522,558,-36
MUL,15,37,555
SUB,67,272,-205
POW,207,390,Muy Largo
POW,861,708,Muy Largo
POW,455,262,Muy Largo
POW,941,729,Muy Largo
POW,175,103,Muy Largo
MUL,116,382,44312
SUM,69,373,442
POW,803,87,Muy Largo
MUL,616,474,291984
DIV,911,231,3.9437229437229435
POW,929,897,Muy Largo
MUL,264,757,199848
SUB,944,740,204
SUB,242,433,-191
SUM,146,132,278
DIV,543,121,4.487603305785124
SUM,941,787,1728
SUB,801,390,411
DIV,615,704,0.8735795454545454
